Epoch	Train Acc	Test Acc	Loss	Time (s)	LR
1	0.3618	0.6183	16.4138	51.5	0.005000
2	0.8811	0.9179	0.6447	50.8	0.005000
3	0.9660	0.9412	0.2351	51.4	0.005000
4	0.9618	0.9490	0.2586	50.1	0.010000
5	0.9763	0.9567	0.1840	49.4	0.010000
6	0.9771	0.9487	0.1907	48.9	0.010000
7	0.9823	0.9550	0.1537	49.2	0.010000
8	0.9862	0.9697	0.1236	49.8	0.010000
9	0.9868	0.9558	0.1188	50.1	0.010000
10	0.9869	0.9611	0.1208	50.6	0.010000
11	0.9910	0.9726	0.0957	51.6	0.005000
12	0.9918	0.9758	0.0855	68.6	0.005000
13	0.9929	0.9761	0.0797	56.8	0.005000
14	0.9932	0.9750	0.0762	50.5	0.005000
15	0.9934	0.9761	0.0735	52.0	0.005000
