Epoch	Train Acc	Test Acc	Loss	Time (s)	LR
1	0.0960	0.0950	30.9818	26.1	0.010000
2	0.0960	0.0950	31.0232	24.0	0.010000
3	0.0960	0.0950	31.0249	23.8	0.010000
4	0.0960	0.0950	31.0163	21.4	0.010000
5	0.0960	0.0950	31.0180	21.8	0.010000
6	0.0960	0.0950	31.0214	21.0	0.010000
7	0.0960	0.0950	31.0214	21.1	0.010000
8	0.0960	0.0950	31.0214	20.6	0.010000
9	0.0960	0.0950	31.0232	22.7	0.010000
10	0.0960	0.0950	31.0180	20.3	0.010000
11	0.0960	0.0950	31.0197	23.6	0.010000
12	0.0960	0.0950	31.0163	19.9	0.010000
